date,seconds,weather,simulation
07.05.2016 16:24,768928,26,27.396031
07.05.2016 17:36,773243,26.9,26.38926
07.05.2016 18:48,777558,25,26.884963
07.05.2016 19:48,781173,25,25.831998
07.05.2016 20:48,784788,25.7,25.798287
07.05.2016 21:48,788403,28,26.11515
07.05.2016 22:49,792018,29,28.365351
07.05.2016 23:49,795633,29.6,30.07561
08.05.2016 00:49,799248,30,31.276068
08.05.2016 02:01,803556,31,51.540845
08.05.2016 03:13,807864,30,45.190635
08.05.2016 04:25,812173,31,46.682356
08.05.2016 05:36,816481,31.4,46.689358
08.05.2016 06:48,820790,31,45.556361
08.05.2016 07:48,824406,30,43.314098
08.05.2016 08:49,828023,29.9,41.443156
08.05.2016 09:49,831639,29,36.994313
08.05.2016 10:49,835256,29,29.9276
08.05.2016 11:50,838873,29,29.339295
08.05.2016 12:50,842490,29,29.263195
08.05.2016 14:02,846793,29,29.172243
08.05.2016 15:13,851096,28.7,29.101436
08.05.2016 16:25,855399,29,28.869179
08.05.2016 17:37,859702,28.6,28.97168
08.05.2016 18:48,864006,28,28.715892
08.05.2016 20:00,868322,28,28.353485
08.05.2016 21:12,872638,28.2,28.337199
08.05.2016 22:24,876955,28,30.869833
08.05.2016 23:36,881271,29.3,37.459397
09.05.2016 00:48,885588,30,41.940194
09.05.2016 01:48,889188,30,44.517763
09.05.2016 02:48,892788,30.4,46.192653
09.05.2016 03:48,896388,31,47.236466
09.05.2016 04:48,899988,30,47.85583
09.05.2016 05:48,903588,30.4,46.556584
09.05.2016 06:48,907189,31,45.682751
09.05.2016 07:48,910797,30,44.196873
09.05.2016 08:48,914406,29.9,40.595845
09.05.2016 09:49,918014,30,36.536498
09.05.2016 10:49,921623,30,31.048079
09.05.2016 11:49,925231,29.2,30.58788
09.05.2016 12:49,928840,29,30.050059
09.05.2016 14:01,933159,29,29.686171
09.05.2016 15:13,937478,29.2,29.606298
09.05.2016 16:25,941797,28,29.655428
09.05.2016 17:37,946116,26.9,28.930194
09.05.2016 18:49,950436,27,28.314879
09.05.2016 19:49,954038,27,28.302085
09.05.2016 20:49,957641,26.8,28.250935
09.05.2016 21:49,961243,27,28.107371
09.05.2016 22:49,964846,28,28.85177
09.05.2016 23:49,968449,27.1,30.187622
10.05.2016 00:49,972052,28.66,30.269375
10.05.2016 02:01,976353,28.94,31.676804
10.05.2016 03:13,980654,29,32.221711
10.05.2016 04:24,984955,29.11,32.420516
10.05.2016 05:36,989256,29.1,32.419164
10.05.2016 06:48,993558,29.11,32.151182
10.05.2016 07:48,997182,28.96,31.746335
10.05.2016 08:48,1000806,28.93,31.146471
10.05.2016 09:49,1004430,29.11,30.361607
